mp_id,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,formation_energy (eV/atom),energy_above_hull (eV/atom),band_gap (eV),A_site,B_site,X_site
mp-23538,K1 Fe1 Cl3,3.890847,8.862346,14.296414,90.0,90.0,90.0,ortho,Pnma,-1.574581814,0.031317028,0.0477,K,Fe,Cl
mp-556891,K1 Fe1 F3,4.16531,4.16531,4.16531,90.0,90.0,90.0,cubic,Pm-3m,-2.505277545,0.220190679,0.0,K,Fe,F
mp-1247740,K1 Fe1 I3,4.061135,9.790628,16.301125,90.0,90.0,90.0,ortho,Pnma,-0.736542884,0.146414656,0.1892,K,Fe,I
mp-1097023,K1 Fe1 O3,5.089854,5.611265,13.329225,90.0,90.0,90.0,ortho,Pnma,-1.269862373,0.162004669,0.5258,K,Fe,O
mp-1184987,K1 Gd1 O3,4.46096,4.46096,4.46096,90.0,90.0,90.0,cubic,Pm-3m,-2.31694479,0.18361395,0.0,K,Gd,O
mp-998412,K1 Ge1 Br3,5.605409015,5.605409015,5.59204652,89.0316345,89.0316345,89.23977012,mono,Cm,-1.361960853,0.025231168,0.9083,K,Ge,Br
mp-998612,K1 Ge1 Br3,5.981290952,7.42392971,8.486145859,90.0,114.5480546,90.0,mono,P2_1/m,-1.387192021,0.0,2.9026,K,Ge,Br
mp-998231,K1 Ge1 Cl3,5.356161585,5.356161585,5.335108327,89.08382834,89.08382834,89.15415082,mono,Cm,-1.627457628,0.028222893,1.4859,K,Ge,Cl
mp-998613,K1 Ge1 Cl3,7.531836961,7.53183688,7.531836492,61.68388527,61.68387771,61.68388726,trig,R3c,-1.655680521,0.0,2.8924,K,Ge,Cl
mp-998227,K1 Hf1 O3,4.177954,4.177954,4.177954,90.0,90.0,90.0,cubic,Pm-3m,-2.943229516,0.040906272,0.0,K,Hf,O
mp-7483,K1 Hg1 F3,6.40393385,6.41619267,9.04877947,90.0,90.0,90.0,cubic,Pm-3m,-2.199979577,0.0,0.6082,K,Hg,F
mp-725939,K1 Hg1 I3,8.495221,9.296003,12.546216,90.0,90.0,90.0,ortho,Pna2_1,-0.991852945,0.014913208,1.7116,K,Hg,I
mp-1184944,K1 Ho1 O3,4.448354,4.448354,4.448354,90.0,90.0,90.0,cubic,Pm-3m,-2.306167295,0.260054367,0.0,K,Ho,O
mp-1080058,K1 I1 O3,6.287628716,6.287629181,6.287629508,59.93186773,59.93186075,59.93187505,trig,R3c,-1.365218097,0.0014049,2.8548,K,I,O
mp-1180816,K1 I1 O3,7.851112932,7.851112932,9.076980192,54.80104569,54.80104569,70.47362089,mono,C2,-1.356217607,0.01040539,2.813,K,I,O
mp-1200675,K1 I1 O3,8.896428484,8.896428473,8.896427956,89.66984356,89.66985025,89.66984473,trig,R3,-1.36555921,0.001063787,2.8533,K,I,O
mp-1223446,K1 I1 O3,4.522157015,4.522157015,4.522156919,88.4851769,88.4851769,88.4851775,trig,R3,-1.360459949,0.006163048,2.5295,K,I,O
mp-23487,K1 I1 O3,7.67246903,7.690671943,7.680980049,109.5181294,109.0969225,109.3830158,tri,P1,-1.366622997,0.0,2.7868,K,I,O
mp-552729,K1 I1 O3,4.438137533,4.43813628,4.43886818,88.66743015,88.6674449,88.66447294,trig,R3m,-1.359852849,0.006770148,2.5682,K,I,O
mp-558843,K1 I1 O3,4.200263,4.200263,4.200263,90.0,90.0,90.0,cubic,Pm-3m,-1.168379829,0.198243168,0.0,K,I,O
mp-1110931,K1 In1 Br3,8.070099526,8.070099526,8.070099526,60.0,60.0,60.0,cubic,Fm-3m,-1.421698091,0.09779008,0.8797,K,In,Br
mp-28529,K1 In1 Br3,8.60409982,8.604099958,10.87592584,90.0,90.0,119.9999986,trig,P-3,-1.519488171,0.0,2.3376,K,In,Br
mp-1112170,K1 In1 Cl3,7.809809136,7.809809136,7.809809136,60.0,60.0,60.0,cubic,Fm-3m,-1.722804377,0.053826871,1.5971,K,In,Cl
mp-1112296,K1 In1 F3,6.600529261,6.600529261,6.600529261,60.0,60.0,60.0,cubic,Fm-3m,-2.700292204,0.075186752,2.3697,K,In,F
mp-1112169,K1 In1 I3,8.720254372,8.720254372,8.720254372,60.0,60.0,60.0,cubic,Fm-3m,-1.049556662,0.076682345,0.0,K,In,I
mp-974734,K1 In1 O3,4.308433,4.308433,4.308433,90.0,90.0,90.0,cubic,Pm-3m,-1.274736738,0.291637047,0.0,K,In,O
